"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,4.222,22,9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,105.189,00,5.160,9.971,3,-170,-6,526,10.000,50,0,1,2,3,8,1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,8,4,,0,,,,,,,,0,0,0,,0,,,,,,,"
"Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Teórico,VI,Qtd. Bid,Vol. Impl. Bid (%),Bid,Ask,Vol. Impl. Ask (%),Qtd. Ask,Último,Var. (%),Data/Hora,VE,Prêmio como % do strike,Prêmio como % da última cotação,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,Prob. ITM (%),IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRV127,PUT,,E,1.217,OTM,-6.068,0,,,,,1,,60,2,0,09:45:00,,16,6,,,,0,0,0,,0,,100,0,0,1,1,1
PETRJ130,CALL,,E,1.242,ITM,-5.987,1.860,1.853,3,,1.809,1.870,2.604,3,1.882,,09:45:00,-13,14.815,5.945,1,"9.410,00",,10.000,0,-70,-4,0,10.000,25,0,"2,5","27,3",1,4
PETRV130,PUT,,E,1.242,OTM,-5.987,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ132,CALL,,A,1.267,ITM,-5.906,1.835,1.828,,,,,,,,0,,,,,,,,10.000,0,-80,,0,,,,,,,
PETRV132,PUT,,E,1.267,OTM,-5.906,0,,,,,2,1.995,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ133,CALL,,E,1.272,ITM,-5.890,1.830,1.823,,,,,,,1.880,0,09:45:00,57,14.780,6.074,,,,10.000,0,-80,-4,0,,33,"1,9",1,600,1,3
PETRV133,PUT,,E,1.272,OTM,-5.890,0,,,,,1,,418,1,0,09:45:00,,8,3,,,,0,0,0,,0,,100,0,0,300,1,1
PETRJ135,CALL,,E,1.292,ITM,-5.826,1.810,1.803,,,,,,,1.850,0,09:45:00,47,14.319,5.977,,,,10.000,0,-80,-4,0,,100,0,0,"1,5",2,2
PETRV135,PUT,,E,1.292,OTM,-5.826,0,,,,,1,,60,4,0,09:45:00,,31,13,,,,0,0,0,,0,,100,0,4,0,1,1
PETRJ137,CALL,,A,1.317,ITM,-5.745,1.785,1.778,,,,,,,,0,,,,,,,,10.000,0,-80,,0,,,,,,,
